#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
1.190476,9,14.571064
1.095238,5,14.583019
1.142857,7,14.597708
1.214286,10,14.622466
-0.809524,9,14.646703
1.166667,8,14.665401
1.095238,5,14.677076
1.095238,5,14.688678
1.095238,5,14.701948
1.095238,5,14.715019
1.095238,5,14.734669
1.071429,4,14.742884
1.095238,5,14.755912
1.261905,12,14.793188
1.095238,5,14.80541
-0.857143,7,14.822461
1.166667,8,14.84549
1.071429,4,14.85569
-0.714286,13,14.882915
1.095238,5,14.894806
1.214286,10,14.917296
1.214286,10,14.941694
1.071429,4,14.951951
1.119048,6,14.965113
1.095238,5,14.976822
-0.714286,13,15.00657
1.071429,4,15.017018
-0.785714,10,15.045037
1.095238,5,15.057181
1.071429,4,15.065032
1.166667,8,15.087235
1.119048,6,15.100956
-9.690476,14,15.131668
1.119048,6,15.14602
-9.714286,13,15.199737
1.119048,6,15.213726
-9.690476,14,15.262591
1.166667,8,15.281216
1.095238,5,15.293461
1.119048,6,15.311525
1.095238,5,15.323721
-9.642857,16,15.365292
1.095238,5,15.381748
1.119048,6,15.402617
1.119048,6,15.417007
1.119048,6,15.430811
-9.761905,11,15.468549
1.095238,5,15.48029
1.095238,5,15.492662
-9.833333,8,15.508596
1.119048,6,15.52247
1.095238,5,15.534983
1.190476,9,15.559864
1.095238,5,15.575115
1.095238,5,15.588411
1.214286,10,15.610268
1.095238,5,15.622151
1.095238,5,15.633959
1.119048,6,15.647118
1.119048,6,15.663816
-0.928571,4,15.672058
1.142857,7,15.697694
1.095238,5,15.709597
1.095238,5,15.721341
-0.928571,4,15.732386
-9.809524,9,15.749943
-9.785714,10,15.773244
1.119048,6,15.793258
-0.809524,9,15.813183
-0.809524,9,15.834175
1.071429,4,15.844732
1.071429,4,15.85475
1.119048,6,15.87765
1.095238,5,15.8948
-0.714286,13,15.928039
1.095238,5,15.939955
1.095238,5,15.951872
1.071429,4,15.959938
1.095238,5,15.973301
1.119048,6,15.992161
-9.761905,11,16.019766
1.095238,5,16.031897
1.190476,9,16.052435
1.095238,5,16.067358
1.119048,6,16.080729
1.095238,5,16.092529
-0.761905,11,16.11661
1.095238,5,16.128418
1.119048,6,16.145588
1.071429,4,16.155928
1.190476,9,16.180451
-9.785714,10,16.20527
1.119048,6,16.224158
1.095238,5,16.241865
1.095238,5,16.255956
1.142857,7,16.278214
1.071429,4,16.297599
-9.809524,9,16.324153
-9.785714,10,16.355399
1.142857,7,16.371881
1.095238,5,16.388374
1.238095,11,16.434364
-9.595238,18,16.484001
1.095238,5,16.496813
-9.761905,11,16.528312
1.119048,6,16.549733
1.095238,5,16.571012
1.142857,7,16.590276
1.119048,6,16.608779
1.119048,6,16.62307
-0.809524,9,16.646863
1.095238,5,16.659513
1.166667,8,16.679891
1.166667,8,16.697731
1.166667,8,16.717631
1.095238,5,16.729897
1.095238,5,16.741974
1.095238,5,16.754079
1.095238,5,16.766297
-0.785714,10,16.795795
1.071429,4,16.807915
-0.785714,10,16.833797
-9.690476,14,16.865924
1.071429,4,16.874202
-0.857143,7,16.893217
1.214286,10,16.918762
1.119048,6,16.934483
1.119048,6,16.947927
1.095238,5,16.960003
-9.761905,11,16.990635
1.095238,5,17.002841
1.119048,6,17.025095
1.238095,11,17.051411
1.095238,5,17.063591
-0.880952,6,17.0796
1.166667,8,17.102898
1.095238,5,17.120458
1.071429,4,17.128342
1.190476,9,17.161319
1.095238,5,17.179091
1.095238,5,17.19301
-0.928571,4,17.205894
1.095238,5,17.21765
-9.809524,9,17.23923
1.190476,9,17.261955
-0.904762,5,17.274729
1.095238,5,17.286731
-9.690476,14,17.315005
1.095238,5,17.326835
1.071429,4,17.337064
-0.880952,6,17.35068
1.071429,4,17.361293
1.190476,9,17.381457
1.166667,8,17.399981
-9.690476,14,17.427093
1.095238,5,17.438972
1.095238,5,17.450875
-0.619048,17,17.494186
-9.833333,8,17.509755
-9.738095,12,17.536585
-0.880952,6,17.550989
-9.809524,9,17.576429
1.071429,4,17.58855
1.119048,6,17.605534
-9.690476,14,17.642516
